Registro,Region_residencia,Edad,género,Sector,Estado_Asistencia,Es_Organizador,"Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [1. Mitigación y Neutralidad de Emisiones de Gases de Efecto Invernadero (GEI)]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [2. Absorciones y Sumideros de Carbono]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [3. Vulnerabilidad, Impactos y Riesgos Climáticos]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [4. Adaptación y Resiliencia Climática]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [5. Soluciones basadas en la Naturaleza (SbN) y Funciones Ecosistémicas]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [6. Sistemas de Monitoreo, Reporte y Verificación (MRV)]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [7. Desarrollo y Transferencia de Tecnología Climática y generación de capacidades]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [8. Instrumentos de Precio y Mercado de Carbono]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [9. Institucionalidad y Gobernanza Climática]"
REG-018-ANVA,Valparaíso,55.0,Femenino,Academia,Asistió,False,,,Segunda preferencia para participar,Temática de interés secundario,,,Primera preferencia para participar,,
REG-019-ANME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario
REG-020-ANME,Metropolitana de Santiago,43.0,Femenino,Academia,Asistió,False,,,,Temática de interés secundario,Segunda preferencia para participar,,Primera preferencia para participar,,
REG-021-ANÑU,Ñuble,56.0,Femenino,Academia,Asistió,False,Primera preferencia para participar,,,,,,,,
REG-022-ANME,Metropolitana de Santiago,40.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,
REG-023-ANME,Metropolitana de Santiago,37.0,Femenino,Academia,Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,,,Primera preferencia para participar,,
REG-024-ANME,Metropolitana de Santiago,,,,No Asistió,False,Segunda preferencia para participar,,,,,,Primera preferencia para participar,,
REG-025-ANME,Metropolitana de Santiago,47.0,Masculino,Privado,Asistió,False,,,,Temática de interés secundario,,Primera preferencia para participar,Segunda preferencia para participar,,
REG-026-AN,No especificada,,,,No Asistió,False,,,,,,,,,
REG-027-ANME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,,Primera preferencia para participar,
REG-028-ANLA,La Araucanía,,,,No Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,,,
REG-029-ANBI,Biobío,52.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,Temática de interés secundario,Segunda preferencia para participar,,,,
REG-030-ANME,Metropolitana de Santiago,,,,No Asistió,False,,,,Temática de interés secundario,,,Segunda preferencia para participar,,Primera preferencia para participar
REG-031-ANME,Metropolitana de Santiago,24.0,Femenino,Privado,Asistió,False,,,,,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario
REG-032-ANME,Metropolitana de Santiago,,,,No Asistió,False,,Temática de interés secundario,,Segunda preferencia para participar,Primera preferencia para participar,,,,
REG-033-ARBI,Biobío,,,,No Asistió,False,,,,,Segunda preferencia para participar,Temática de interés secundario,,,Primera preferencia para participar
REG-034-ARVA,Valparaíso,36.0,Masculino,Academia,Asistió,False,Segunda preferencia para participar,,,Temática de interés secundario,,,,,Primera preferencia para participar
REG-035-AR,No especificada,,,,No Asistió,False,,,,,,,,,
REG-036-ASBI,Biobío,,Femenino,Público,Asistió,False,,Temática de interés secundario,Segunda preferencia para participar,,,,,,Primera preferencia para participar
REG-037-AUME,Metropolitana de Santiago,,,,No Asistió,False,Temática de interés secundario,Segunda preferencia para participar,,,Primera preferencia para participar,,,,
REG-038-AXME,Metropolitana de Santiago,,,,No Asistió,False,Temática de interés secundario,,Segunda preferencia para participar,Primera preferencia para participar,,,,,
REG-039-BÁME,Metropolitana de Santiago,,,,No Asistió,False,Segunda preferencia para participar,,,,,,Temática de interés secundario,Primera preferencia para participar,
REG-040-BÁME,Metropolitana de Santiago,,,,No Asistió,False,,,,Primera preferencia para participar,Temática de interés secundario,,,,Segunda preferencia para participar
REG-041-BÁME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario
REG-042-BAME,Metropolitana de Santiago,30.0,Masculino,Academia,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,Temática de interés secundario,,,
REG-043-BAME,Metropolitana de Santiago,36.0,Masculino,Público,Asistió,False,,,,,,,,,
REG-044-BE,No especificada,26.0,Masculino,Academia,Asistió,False,,,,,,,,,
REG-045-BEME,Metropolitana de Santiago,,,,No Asistió,True,,,,,,,,,
REG-046-BOME,Metropolitana de Santiago,42.0,Masculino,Otro,Asistió,True,,,,,,,,,
REG-047-BRME,Metropolitana de Santiago,42.0,Masculino,Público,Asistió,False,Primera preferencia para participar,Segunda preferencia para participar,,,,,,,Temática de interés secundario
REG-048-CAME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,,Primera preferencia para participar,,Segunda preferencia para participar,,
REG-049-CABI,Biobío,,Femenino,Academia,Asistió,True,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,,,
REG-050-CAME,Metropolitana de Santiago,33.0,Femenino,Academia,Asistió,False,,,Primera preferencia para participar,,Temática de interés secundario,,,,Segunda preferencia para participar
REG-051-CAME,Metropolitana de Santiago,,,,No Asistió,False,Segunda preferencia para participar,,,,,Primera preferencia para participar,,Temática de interés secundario,
REG-052-CALO,Los Lagos,,Femenino,Academia,Asistió,True,Primera preferencia para participar,,,Segunda preferencia para participar,,,,,
REG-053-CAME,Metropolitana de Santiago,40.0,Femenino,Academia,Asistió,False,,,Primera preferencia para participar,Temática de interés secundario,,,,,Segunda preferencia para participar
REG-054-CAME,Metropolitana de Santiago,38.0,Femenino,Academia,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,Temática de interés secundario,,
REG-055-CAME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,,,Segunda preferencia para participar,,,,,
REG-056-CAMA,Magallanes,56.0,Femenino,Academia,Asistió,False,,,Temática de interés secundario,Primera preferencia para participar,Segunda preferencia para participar,,,,
REG-057-CAME,Metropolitana de Santiago,,,,No Asistió,False,,,,,Primera preferencia para participar,,,Segunda preferencia para participar,Temática de interés secundario
REG-058-CAME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,,,Segunda preferencia para participar,,,,Temática de interés secundario,
REG-059-CAME,Metropolitana de Santiago,73.0,Masculino,Otro,Asistió,False,,,Primera preferencia para participar,,,Segunda preferencia para participar,,,
REG-060-CAME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,,,
REG-061-CAAN,Antofagasta,,,,No Asistió,False,,,,,Primera preferencia para participar,Temática de interés secundario,,,Segunda preferencia para participar
REG-062-CAME,Metropolitana de Santiago,,Masculino,Público,Asistió,True,,,,Segunda preferencia para participar,,,Temática de interés secundario,,Primera preferencia para participar
REG-063-CACO,Coquimbo,53.0,Masculino,Academia,Asistió,False,,,Segunda preferencia para participar,,Primera preferencia para participar,,,,Temática de interés secundario
REG-064-CAME,Metropolitana de Santiago,,,,No Asistió,False,,,,,Segunda preferencia para participar,,,Primera preferencia para participar,Temática de interés secundario
REG-065-CAME,Metropolitana de Santiago,,,,No Asistió,False,,,,Segunda preferencia para participar,Temática de interés secundario,,,,Primera preferencia para participar
REG-066-CAME,Metropolitana de Santiago,39.0,Masculino,Privado,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario,,,,
REG-067-CAME,Metropolitana de Santiago,,,,No Asistió,True,,,,,,,,,
REG-068-CAME,Metropolitana de Santiago,47.0,Femenino,Público,Asistió,False,,,Segunda preferencia para participar,,Temática de interés secundario,,Primera preferencia para participar,,
REG-069-CAME,Metropolitana de Santiago,,Femenino,Público,Asistió,False,,,,Primera preferencia para participar,Temática de interés secundario,,,,Segunda preferencia para participar
REG-070-CALO,Los Ríos,40.0,Femenino,Academia,Asistió,False,,,,,Primera preferencia para participar,,Segunda preferencia para participar,,Temática de interés secundario
REG-071-CAME,Metropolitana de Santiago,56.0,Femenino,Academia,Asistió,False,,,,,,,,,
REG-072-CAME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,,,,,,
REG-073-CAME,Metropolitana de Santiago,38.0,Femenino,Otro,Asistió,False,,,,,,Temática de interés secundario,,Primera preferencia para participar,Segunda preferencia para participar
REG-074-CAME,Metropolitana de Santiago,27.0,Femenino,Privado,Asistió,False,,,Segunda preferencia para participar,,,,Primera preferencia para participar,,Temática de interés secundario
REG-075-CAME,Metropolitana de Santiago,,,,No Asistió,False,Temática de interés secundario,,Primera preferencia para participar,Segunda preferencia para participar,,,,,
REG-076-CAME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,Primera preferencia para participar,,,,,Segunda preferencia para participar
REG-077-CAME,Metropolitana de Santiago,,,,No Asistió,False,Segunda preferencia para participar,,,Primera preferencia para participar,,,Temática de interés secundario,,
REG-078-CEAN,Antofagasta,60.0,Femenino,Otro,Asistió,False,Segunda preferencia para participar,,,Primera preferencia para participar,,,Temática de interés secundario,,
REG-079-CELA,La Araucanía,,,,No Asistió,False,Temática de interés secundario,,,Primera preferencia para participar,Segunda preferencia para participar,,,,
REG-080-CHLA,La Araucanía,,,,No Asistió,False,,,,Primera preferencia para participar,,,,,
REG-081-CHME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,,,,,
REG-082-CHME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,,Primera preferencia para participar,,,,Temática de interés secundario
REG-083-CLME,Metropolitana de Santiago,,Femenino,Academia,Asistió,False,,,,Segunda preferencia para participar,Primera preferencia para participar,,Temática de interés secundario,,
REG-084-CLME,Metropolitana de Santiago,52.0,Femenino,Privado,Asistió,False,Temática de interés secundario,Segunda preferencia para participar,,,,,,Primera preferencia para participar,
REG-085-CLME,Metropolitana de Santiago,33.0,Femenino,Academia,Asistió,False,,Segunda preferencia para participar,,Temática de interés secundario,Primera preferencia para participar,,,,
REG-086-CLVA,Valparaíso,33.0,Femenino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario
REG-087-CLME,Metropolitana de Santiago,53.0,Femenino,Público,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario,,,,
REG-088-CLME,Metropolitana de Santiago,55.0,Femenino,Academia,Asistió,False,Temática de interés secundario,,Segunda preferencia para participar,Primera preferencia para participar,,,,,
REG-089-CLME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,,Primera preferencia para participar,,,,Segunda preferencia para participar
REG-090-CLVA,Valparaíso,,,,No Asistió,False,,,Temática de interés secundario,Primera preferencia para participar,Segunda preferencia para participar,,,,
REG-091-COME,Metropolitana de Santiago,28.0,Femenino,Academia,Asistió,False,,,,,,,,,
REG-092-COME,Metropolitana de Santiago,,Femenino,Academia,Asistió,False,Temática de interés secundario,,,,Segunda preferencia para participar,Primera preferencia para participar,,,
REG-093-COME,Metropolitana de Santiago,,,,No Asistió,False,,,,Temática de interés secundario,Primera preferencia para participar,,,Segunda preferencia para participar,
REG-094-CRBI,Biobío,,,,No Asistió,False,Segunda preferencia para participar,,Temática de interés secundario,,,,,Primera preferencia para participar,
REG-095-CRME,Metropolitana de Santiago,,,,No Asistió,False,,,,Segunda preferencia para participar,,Primera preferencia para participar,,,
REG-096-CRBI,Biobío,53.0,Masculino,Academia,Asistió,False,,,,Segunda preferencia para participar,Primera preferencia para participar,,,,Temática de interés secundario
REG-097-CRME,Metropolitana de Santiago,53.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario
REG-098-CRME,Metropolitana de Santiago,40.0,Masculino,Público,Asistió,False,Segunda preferencia para participar,Temática de interés secundario,,,,Primera preferencia para participar,,,
REG-099-CRME,Metropolitana de Santiago,41.0,Masculino,Academia,Asistió,False,Segunda preferencia para participar,,Primera preferencia para participar,,,,Temática de interés secundario,,
REG-100-CRAN,Antofagasta,,,,No Asistió,False,,,,,,,Primera preferencia para participar,,Segunda preferencia para participar
REG-101-CRME,Metropolitana de Santiago,72.0,Masculino,Academia,Asistió,False,,,,Segunda preferencia para participar,,Temática de interés secundario,,,Primera preferencia para participar
REG-102-CRME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario
REG-103-CRME,Metropolitana de Santiago,51.0,Masculino,Público,Asistió,False,Segunda preferencia para participar,,Primera preferencia para participar,,,Temática de interés secundario,,,
REG-104-CRVA,Valparaíso,46.0,Femenino,Academia,Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,,
REG-105-CRME,Metropolitana de Santiago,45.0,Masculino,Privado,Asistió,False,Primera preferencia para participar,,,Segunda preferencia para participar,,,,,Temática de interés secundario
REG-106-CRME,Metropolitana de Santiago,,,,No Asistió,False,Segunda preferencia para participar,,,,,,Primera preferencia para participar,Temática de interés secundario,
REG-107-CRME,Metropolitana de Santiago,,,,No Asistió,False,Segunda preferencia para participar,,Temática de interés secundario,,,Primera preferencia para participar,,,
REG-108-CRME,Metropolitana de Santiago,45.0,Masculino,Sociedad civil,Asistió,False,,,Primera preferencia para participar,Temática de interés secundario,,,,,Segunda preferencia para participar
REG-109-CYAN,Antofagasta,,,,No Asistió,False,,,,,,Primera preferencia para participar,,,
REG-110-DAVA,Valparaíso,,,,No Asistió,False,,,Segunda preferencia para participar,,,Primera preferencia para participar,,,
REG-111-DALA,La Araucanía,45.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario,,,,
REG-112-DAVA,Valparaíso,,,,No Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,Temática de interés secundario,,,
REG-113-DA,No especificada,,,,No Asistió,False,,,,,,,,,
REG-114-DAME,Metropolitana de Santiago,,Masculino,Público,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,Temática de interés secundario,
REG-115-DALO,Los Ríos,70.0,Masculino,Academia,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,,,
REG-116-DAVA,Valparaíso,,,,No Asistió,False,,,Primera preferencia para participar,,Segunda preferencia para participar,Temática de interés secundario,,,
REG-117-DA,No especificada,28.0,Masculino,Academia,Asistió,False,,,,,,,,,
REG-118-DAME,Metropolitana de Santiago,,Masculino,Otro,Asistió,True,Temática de interés secundario,,,,,,Segunda preferencia para participar,,Primera preferencia para participar
REG-119-DAME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,,Temática de interés secundario,,,Segunda preferencia para participar,
REG-120-DAME,Metropolitana de Santiago,38.0,Femenino,Academia,Asistió,False,,,,Segunda preferencia para participar,,Temática de interés secundario,,,Primera preferencia para participar
REG-121-DAME,Metropolitana de Santiago,35.0,Femenino,Academia,Asistió,False,Segunda preferencia para participar,,,,,,Primera preferencia para participar,Temática de interés secundario,
REG-122-DAME,Metropolitana de Santiago,30.0,Femenino,Privado,Asistió,False,,,,Temática de interés secundario,,,Primera preferencia para participar,,Segunda preferencia para participar
REG-123-DAME,Metropolitana de Santiago,51.0,Masculino,Academia,Asistió,False,,Temática de interés secundario,,Segunda preferencia para participar,,,,,Primera preferencia para participar
REG-124-DAME,Metropolitana de Santiago,33.0,Masculino,Público,Asistió,False,,,,Primera preferencia para participar,,,Segunda preferencia para participar,,Temática de interés secundario
REG-125-DEBI,Biobío,,,,No Asistió,False,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,,,
REG-126-DIVA,Valparaíso,,,,No Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,,,
REG-127-DIME,Metropolitana de Santiago,30.0,Masculino,Academia,Asistió,False,,,,Temática de interés secundario,,Segunda preferencia para participar,,,Primera preferencia para participar
REG-128-DIME,Metropolitana de Santiago,,Masculino,Público,Asistió,False,,,,,,Primera preferencia para participar,Temática de interés secundario,,Segunda preferencia para participar
REG-129-DIME,Metropolitana de Santiago,36.0,Masculino,Privado,Asistió,False,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario,,
REG-130-DIME,Metropolitana de Santiago,48.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,,,
REG-131-DIO',O'Higgins,,,,No Asistió,False,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,,,
REG-132-DIME,Metropolitana de Santiago,,Femenino,Público,Asistió,False,,,,,,,,,
REG-133-DOME,Metropolitana de Santiago,,,,No Asistió,False,,Segunda preferencia para participar,,Temática de interés secundario,Primera preferencia para participar,,,,
REG-134-DOVA,Valparaíso,70.0,Femenino,Academia,Asistió,False,,,,Segunda preferencia para participar,Temática de interés secundario,,,,Primera preferencia para participar
REG-135-DOME,Metropolitana de Santiago,,Femenino,Otro,Asistió,True,,Segunda preferencia para participar,,,Temática de interés secundario,,,Primera preferencia para participar,
REG-136-DYME,Metropolitana de Santiago,30.0,Masculino,Público,Asistió,True,,,,,,,,,
REG-137-EDMA,Magallanes,55.0,Masculino,Sociedad civil,Asistió,False,Segunda preferencia para participar,,,,,Primera preferencia para participar,,,Temática de interés secundario
REG-138-EDME,Metropolitana de Santiago,42.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario
REG-139-EDME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario
REG-140-EDME,Metropolitana de Santiago,44.0,Masculino,Privado,Asistió,False,,,,,,,,,
REG-141-EDLO,Los Ríos,70.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,,,Temática de interés secundario,Segunda preferencia para participar,,
REG-142-EDME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,,
REG-143-ED,No especificada,,,,No Asistió,False,,,,,,,,,
REG-144-ELVA,Valparaíso,,,,No Asistió,False,,,Primera preferencia para participar,,,Segunda preferencia para participar,,,
REG-145-ELME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,,Segunda preferencia para participar,,,,Temática de interés secundario
REG-146-ELVA,Valparaíso,41.0,Femenino,Academia,Asistió,False,,,,Segunda preferencia para participar,,,,Temática de interés secundario,Primera preferencia para participar
REG-147-ELAN,Antofagasta,,Femenino,Academia,Asistió,True,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,,
REG-148-ELME,Metropolitana de Santiago,51.0,Femenino,Privado,Asistió,False,,,Segunda preferencia para participar,,Primera preferencia para participar,,,,Temática de interés secundario
REG-149-ELME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,,,
REG-150-ENBI,Biobío,,,,No Asistió,False,,,Primera preferencia para participar,,,,,,
REG-151-ENME,Metropolitana de Santiago,48.0,Masculino,Público,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,,,
REG-152-ENCO,Coquimbo,,,,No Asistió,False,,,Temática de interés secundario,,Primera preferencia para participar,Segunda preferencia para participar,,,
REG-153-ERME,Metropolitana de Santiago,44.0,Masculino,Privado,Asistió,False,,Primera preferencia para participar,,,Segunda preferencia para participar,Temática de interés secundario,,,
REG-154-EUME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,Temática de interés secundario,
REG-155-FAME,Metropolitana de Santiago,53.0,Femenino,Público,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario
REG-156-FAME,Metropolitana de Santiago,45.0,Femenino,Público,Asistió,False,,,,Primera preferencia para participar,Temática de interés secundario,,Segunda preferencia para participar,,
REG-157-FEMA,Maule,,,,No Asistió,False,,,,,Primera preferencia para participar,,Segunda preferencia para participar,,Temática de interés secundario
REG-158-FEME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,,,
REG-159-FEME,Metropolitana de Santiago,36.0,Masculino,Público,Asistió,False,,,Primera preferencia para participar,,Segunda preferencia para participar,,,,
REG-160-FEME,Metropolitana de Santiago,,Masculino,Público,Asistió,False,,Segunda preferencia para participar,,,,,,,Primera preferencia para participar
REG-161-FEME,Metropolitana de Santiago,44.0,Masculino,Academia,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,,,
REG-162-FEME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario,,,,
REG-163-FEME,Metropolitana de Santiago,35.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,,,
REG-164-FEME,Metropolitana de Santiago,31.0,Masculino,Público,Asistió,False,,,,,,,,,
REG-165-FEME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,Segunda preferencia para participar,Temática de interés secundario,Primera preferencia para participar
